capitolo          	capitolo          	CAPITOLO
nascosto          	nascosto          	D’un tratto guardò il mantello di Silente come se pensasse che Harry potesse essere nascosto lì sotto.
pare              	parere            	«E a lei pare... saggio... affidare a Hagrid un compito tanto importante?
saggio            	saggio            	«E a lei pare... saggio... affidare a Hagrid un compito tanto importante?
affidare          	affidare          	«E a lei pare... saggio... affidare a Hagrid un compito tanto importante?
compito           	compito           	«E a lei pare... saggio... affidare a Hagrid un compito tanto importante?
ammettere         	ammettere         	«Non dico che non abbia cuore» dovette ammettere la McGonagall, «ma non può negare che sia uno sventato.
negare            	negare            	«Non dico che non abbia cuore» dovette ammettere la McGonagall, «ma non può negare che sia uno sventato.
sventato          	sventato          	«Non dico che non abbia cuore» dovette ammettere la McGonagall, «ma non può negare che sia uno sventato.
tende             	tendere           	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
silenzio          	silenzio          	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
circondava        	circondare        	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
lacerato          	lacerare          	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
rombo             	rombo             	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
cupo              	cupo              	Tende a... Ma cosa è stato?» Il silenzio che li circondava era stato lacerato da un rombo cupo.
fari              	faro              	Mentre Silente e la McGonagall percorrevano con lo sguardo la strada per vedere se si avvicinassero dei fari, il rumore si fece sempre più forte, fino a diventare un boato.
rumore            	rumore            	Mentre Silente e la McGonagall percorrevano con lo sguardo la strada per vedere se si avvicinassero dei fari, il rumore si fece sempre più forte, fino a diventare un boato.
boato             	boato             	Mentre Silente e la McGonagall percorrevano con lo sguardo la strada per vedere se si avvicinassero dei fari, il rumore si fece sempre più forte, fino a diventare un boato.
entrambi          	entrambi          	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
levarono          	levare            	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
gigantesca        	gigantesco        	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
motocicletta      	motocicletta      	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
atterrò           	atterrare         	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
asfalto           	asfalto           	Entrambi levarono lo sguardo al cielo e dall’aria piovve una gigantesca motocicletta che atterrò sull’asfalto proprio davanti a loro.
pur               	pure              	Pur colossale com’era, la moto sembrava niente a confronto con l’uomo che la inforcava.
colossale         	colossale         	Pur colossale com’era, la moto sembrava niente a confronto con l’uomo che la inforcava.
moto              	moto              	Pur colossale com’era, la moto sembrava niente a confronto con l’uomo che la inforcava.
inforcava         	inforcare         	Pur colossale com’era, la moto sembrava niente a confronto con l’uomo che la inforcava.
circa             	circa             	Era alto circa due volte un uomo normale e almeno cinque volte più grosso.
semplicemente     	semplicemente     	Sembrava semplicemente troppo per essere vero, e aveva un aspetto terribilmente selvaggio:
selvaggio         	selvaggio         	Sembrava semplicemente troppo per essere vero, e aveva un aspetto terribilmente selvaggio:
ciocche           	ciocca            	lunghe ciocche di ispidi capelli neri e una folta barba gli nascondevano gran parte del volto;
ispidi            	ispido            	lunghe ciocche di ispidi capelli neri e una folta barba gli nascondevano gran parte del volto;
folta             	folto             	lunghe ciocche di ispidi capelli neri e una folta barba gli nascondevano gran parte del volto;
coperchio         	coperchio         	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
bidone            	bidone            	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
rifiuti           	rifiuto           	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
calzavano         	calzare           	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
cuoio             	cuoio             	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
delfini           	delfino           	ogni mano era grande come il coperchio di un bidone dei rifiuti e i piedi, che calzavano stivali di cuoio, sembravano due piccoli delfini.
braccia           	braccio           	Tra le braccia immense e muscolose reggeva un fagotto di coperte.
immense           	immenso           	Tra le braccia immense e muscolose reggeva un fagotto di coperte.
muscolose         	muscoloso         	Tra le braccia immense e muscolose reggeva un fagotto di coperte.
fagotto           	fagotto           	Tra le braccia immense e muscolose reggeva un fagotto di coperte.
prestito          	prestito          	» «Ce l’ho in prestito, professor Silente, signore» e così dicendo, il gigante scese con circospezione dalla moto.
gigante           	gigante           	» «Ce l’ho in prestito, professor Silente, signore» e così dicendo, il gigante scese con circospezione dalla moto.
scese             	scendere          	» «Ce l’ho in prestito, professor Silente, signore» e così dicendo, il gigante scese con circospezione dalla moto.
circospezione     	circospezione     	» «Ce l’ho in prestito, professor Silente, signore» e così dicendo, il gigante scese con circospezione dalla moto.
me                	me                	«Me l’ha data il giovane Sirius Black.
problemi          	problema          	«Ci sono stati problemi?
distrutta         	distruggere       	la casa era distrutta, diciamo, ma io sono riuscito a tirarlo fuori prima che i Babbani cominciassero a ficcare il naso.
cominciassero     	cominciare        	la casa era distrutta, diciamo, ma io sono riuscito a tirarlo fuori prima che i Babbani cominciassero a ficcare il naso.
ficcare           	ficcare           	la casa era distrutta, diciamo, ma io sono riuscito a tirarlo fuori prima che i Babbani cominciassero a ficcare il naso.
chinarono         	chinarsi          	Silente e la McGonagall si chinarono sul fagotto.
dentro            	dentro            	Dentro, appena visibile, c’era un bambino profondamente addormentato.
visibile          	visibile          	Dentro, appena visibile, c’era un bambino profondamente addormentato.
profondamente     	profondamente     	Dentro, appena visibile, c’era un bambino profondamente addormentato.
ciuffo            	ciuffo            	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
corvini           	corvino           	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
ricadeva          	ricadere          	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
taglio            	taglio            	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
bizzarra          	bizzarro          	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
saetta            	saetta            	Sotto il ciuffo di capelli corvini che gli ricadeva sulla fronte, scorsero il segno di un taglio dalla forma bizzarra, simile a una saetta.
cicatrice         	cicatrice         	«Questa cicatrice se la terrà per sempre».
terrà             	tenersi           	«Questa cicatrice se la terrà per sempre».
ginocchio         	ginocchio         	Anch’io ne ho una, sopra il ginocchio sinistro, che è una piantina perfetta della metropolitana di Londra.
sinistro          	sinistro          	Anch’io ne ho una, sopra il ginocchio sinistro, che è una piantina perfetta della metropolitana di Londra.
piantina          	piantina          	Anch’io ne ho una, sopra il ginocchio sinistro, che è una piantina perfetta della metropolitana di Londra.
metropolitana     	metropolitano     	Anch’io ne ho una, sopra il ginocchio sinistro, che è una piantina perfetta della metropolitana di Londra.
Londra            	Londra            	Anch’io ne ho una, sopra il ginocchio sinistro, che è una piantina perfetta della metropolitana di Londra.
concludere        	concludere        	vediamo di concludere».
salutino          	saluto            	«Posso... posso fargli un salutino, signore?» chiese Hagrid.
chinò             	chinare           	Chinò la grossa e ispida testa su Harry e gli diede un bacio rasposo per via di tutta quella barba.
rasposo           	rasposo           	Chinò la grossa e ispida testa su Harry e gli diede un bacio rasposo per via di tutta quella barba.
via               	via               	Chinò la grossa e ispida testa su Harry e gli diede un bacio rasposo per via di tutta quella barba.
ululò             	ululare           	Poi, d’un tratto, ululò come un cane ferito.
cane              	cane              	Poi, d’un tratto, ululò come un cane ferito.
ferito            	ferito            	Poi, d’un tratto, ululò come un cane ferito.
sibilò            	sibilare          	«Shhh!» sibilò la McGonagall.
sveglierai        	svegliare         	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
singhiozzò        	singhiozzare      	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
pallini           	pallino           	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
seppellendoci     	seppellire        	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
viso              	viso              	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
vivere            	vivere            	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
controllarti      	controllarsi      	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
sussurrò          	sussurrare        	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
cautela           	cautela           	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
scavalcando       	scavalcare        	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
basso             	basso             	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
avviava           	avviarsi          	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
porta             	porta             	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
ingresso          	ingresso          	«Sveglierai i Babbani!» «S-s-scusatemi...» singhiozzò Hagrid tirando fuori un immenso fazzoletto a pallini e seppellendoci il viso dentro, «ma proprio n-n-non ce la faccio... Lily e James morti... e il povero piccolo Harry che se ne va a vivere coi Babbani...» «Sì, certo, è molto triste, ma vedi di controllarti, Hagrid, o ci scopriranno» sussurrò la McGonagall battendogli con cautela un colpetto sul braccio mentre Silente, scavalcando il basso muretto del giardino, si avviava verso la porta d’ingresso.
depose            	deporre           	Depose dolcemente Harry sul gradino, tirò fuori dal mantello una lettera, l’infilò tra le coperte che avvolgevano Harry e tornò verso gli altri due.
dolcemente        	dolcemente        	Depose dolcemente Harry sul gradino, tirò fuori dal mantello una lettera, l’infilò tra le coperte che avvolgevano Harry e tornò verso gli altri due.
gradino           	gradino           	Depose dolcemente Harry sul gradino, tirò fuori dal mantello una lettera, l’infilò tra le coperte che avvolgevano Harry e tornò verso gli altri due.
coperte           	coperta           	Depose dolcemente Harry sul gradino, tirò fuori dal mantello una lettera, l’infilò tra le coperte che avvolgevano Harry e tornò verso gli altri due.
tre               	tre               	Per un lungo minuto i tre rimasero lì a guardare quel fagottino;
scosso            	scosso            	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
singhiozzi        	singhiozzo        	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
palpebre          	palpebra          	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
scintillio        	scintillio        	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
emanava           	emanare           	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
svanito           	svanire           	Hagrid era scosso dai singhiozzi, la professoressa McGonagall non faceva che battere le palpebre, e lo scintillio che normalmente emanava dagli occhi di Silente sembrava svanito.
ecco              	ecco              	«Be’» disse infine Silente, «ecco fatto.
restare           	restare           	Non c’è più ragione di restare qui.
vale              	valere            	Tanto vale che andiamo a prender parte ai festeggiamenti».
festeggiamenti    	festeggiamenti    	Tanto vale che andiamo a prender parte ai festeggiamenti».
soffocata         	soffocato         	«Già» disse Hagrid con voce soffocata, «allora io porto via la moto.
inondati          	inondare          	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
manica            	manica            	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
giacca            	giacca            	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
rimise            	rimettere         	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
cavalcioni        	cavalcioni        	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
accese            	accendere         	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
motore            	motore            	Asciugandosi gli occhi inondati di lacrime con la manica della giacca, Hagrid si rimise a cavalcioni della motocicletta e accese il motore;
sparì             	sparire           	si sollevò in aria con un rombo e sparì nella notte.
rivedremo         	rivedersi         	«Penso che ci rivedremo presto, professoressa McGonagall» disse Silente facendole un cenno col capo.
presto            	presto            	«Penso che ci rivedremo presto, professoressa McGonagall» disse Silente facendole un cenno col capo.
cenno             	cenno             	«Penso che ci rivedremo presto, professoressa McGonagall» disse Silente facendole un cenno col capo.
capo              	capo              	«Penso che ci rivedremo presto, professoressa McGonagall» disse Silente facendole un cenno col capo.
risposta          	risposta          	Per tutta risposta, lei si soffiò il naso.
soffiò            	soffiare          	Per tutta risposta, lei si soffiò il naso.
sfere             	sfera             	Uno scatto, e dodici sfere luminose si riaccesero di colpo nei lampioni, illuminando Privet Drive di un bagliore aranciato.
riaccesero        	riaccendersi      	Uno scatto, e dodici sfere luminose si riaccesero di colpo nei lampioni, illuminando Privet Drive di un bagliore aranciato.
bagliore          	bagliore          	Uno scatto, e dodici sfere luminose si riaccesero di colpo nei lampioni, illuminando Privet Drive di un bagliore aranciato.
aranciato         	aranciato         	Uno scatto, e dodici sfere luminose si riaccesero di colpo nei lampioni, illuminando Privet Drive di un bagliore aranciato.
chiarore          	chiarore          	In quel chiarore vide un gatto soriano che se la svignava dietro l’angolo all’altro capo della strada.
svignava          	svignarsela       	In quel chiarore vide un gatto soriano che se la svignava dietro l’angolo all’altro capo della strada.
mucchietto        	mucchio           	Da quella distanza scorgeva appena il mucchietto di coperte sul gradino del numero 4.
fortuna           	fortuna           	«Buona fortuna, Harry» mormorò.
fruscio           	fruscio           	Poi girò sui tacchi e, con un fruscio del mantello, sparì.
lieve             	lieve             	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
brezza            	brezza            	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
scompigliava      	scompigliare      	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
potate            	potare            	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
riposava          	riposare          	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
ordinata          	ordinato          	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
silenziosa        	silenzioso        	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
inchiostro        	inchiostro        	Una lieve brezza scompigliava le siepi ben potate di Privet Drive, che riposava, ordinata e silenziosa, sotto il cielo nero come l’inchiostro.
stupefacenti      	stupefacente      	L’ultimo posto dove ci si sarebbe aspettati di veder accadere cose stupefacenti.
girò              	girarsi           	Sotto le sue coperte, Harry Potter si girò dall’altra parte senza svegliarsi.
richiuse          	richiudersi       	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
speciale          	speciale          	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
bottiglie         	bottiglia         	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
latte             	latte             	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
successive        	successivo        	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
trascorse         	trascorrere       	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
!riempire         	riempire          	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
spintoni          	spintone          	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
pizzicotti        	pizzicotto        	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
cugino            	cugino            	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
istante           	istante           	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
riunivano         	riunirsi          	Una manina si richiuse sulla lettera che aveva accanto e lui continuò a dormire, senza sapere che era speciale, senza sapere che era famoso, senza sapere che di lì a qualche ora sarebbe stato svegliato dall’urlo della signora Dursley che apriva la porta di casa per mettere fuori le bottiglie del latte, né che le settimane successive le avrebbe trascorse a farsi riempire di spintoni e pizzicotti dal cugino Dudley... Non poteva sapere che, in quello stesso istante, da un capo all’altro del Paese, c’erano persone che si riunivano in segreto e levavano i calici per brindare «a Harry Potter, il bambino che è sopravvissuto».
